"";"date";"temperature";"humidite";"ID"
"1";2007-01-01;11,95;83,375;2007
"2";2007-01-02;10,7375;55,75;2007
"3";2007-01-03;9,10000000000002;57,75;2007
"4";2007-01-04;8,78750000000002;75;2007
"5";2007-01-05;11,6125;60,75;2007
"6";2007-01-06;7,90000000000002;83,5;2007
"7";2007-01-07;9,62500000000002;89,875;2007
"8";2007-01-08;11,0625;86,875;2007
"9";2007-01-09;12,225;87,625;2007
"10";2007-01-10;12,4375;94,25;2007
"11";2007-01-11;12,4875;71,5;2007
"12";2007-01-12;14,275;64,625;2007
"13";2007-01-13;9,66250000000002;79,125;2007
"14";2007-01-14;9,15000000000003;82;2007
"15";2007-01-15;9,98750000000003;81,125;2007
"16";2007-01-16;11,0125;92,5;2007
"17";2007-01-17;10,8;92,625;2007
"18";2007-01-18;8,01250000000003;97,875;2007
"19";2007-01-19;17,3375;61,375;2007
"20";2007-01-20;11,6125;78,75;2007
"21";2007-01-21;11,7625;69,5;2007
"22";2007-01-22;7,65000000000002;80,625;2007
"23";2007-01-23;6,70000000000002;71,5;2007
"24";2007-01-24;3,12500000000004;48,5;2007
"25";2007-01-25;-0,0374999999999801;55,25;2007
"26";2007-01-26;0,912500000000023;51,375;2007
"27";2007-01-27;3,22500000000002;45,25;2007
"28";2007-01-28;4,33750000000002;62,25;2007
"29";2007-01-29;3,62500000000002;65,625;2007
"30";2007-01-30;5,58750000000003;73,125;2007
"31";2007-01-31;6,42500000000002;76,125;2007
"32";2007-02-01;5,33750000000003;71;2007
"33";2007-02-02;7,60000000000002;74,375;2007
"34";2007-02-03;7,45000000000002;71,5;2007
"35";2007-02-04;7,37500000000002;77,875;2007
"36";2007-02-05;7,51250000000002;89;2007
"37";2007-02-06;9,53750000000002;82;2007
"38";2007-02-07;8,51250000000002;80;2007
"39";2007-02-08;8,51250000000002;87,5;2007
"40";2007-02-09;8,65000000000003;77,125;2007
"41";2007-02-10;9,98750000000002;67,375;2007
"42";2007-02-11;12,35;67,375;2007
"43";2007-02-12;10,65;79,25;2007
"44";2007-02-13;10,8625;57,5;2007
"45";2007-02-14;8,06250000000002;75,875;2007
"46";2007-02-15;12,25;45,75;2007
"47";2007-02-16;8,9714285714286;70,5714285714286;2007
"48";2007-02-17;11,4875;79,5;2007
"49";2007-02-18;8,96250000000003;89,25;2007
"50";2007-02-19;9,50000000000002;83,625;2007
"51";2007-02-20;8,66250000000002;88;2007
"52";2007-02-21;8,15000000000003;87,5;2007
"53";2007-02-22;9,55000000000003;91,75;2007
"54";2007-02-23;10,3625;88,375;2007
