"","jours","numPsy","id"
"1",36,0,"IM2021"
"2",40,4,"IM2021"
"3",48,8,"IM2021"
"4",55,9,"IM2021"
"5",62,29,"IM2021"
"6",70,41,"IM2021"
"7",76,69,"IM2021"
"8",83,89,"IM2021"
"9",90,46,"IM2021"
"10",97,47,"IM2021"
"11",104,27,"IM2021"
"12",111,49,"IM2021"
"13",28,2,"IM2020"
"14",43,16,"IM2020"
"15",49,14,"IM2020"
"16",58,27,"IM2020"
"17",63,82,"IM2020"
"18",69,122,"IM2020"
"19",79,82,"IM2020"
"20",133,5,"IM2020"
"21",140,4,"IM2020"
"22",150,0,"IM2020"
"23",133,4,"REIM2020"
"24",140,20,"REIM2020"
"25",150,30,"REIM2020"
"26",155,46,"REIM2020"
"27",161,115,"REIM2020"
"28",169,223,"REIM2020"
"29",176,70,"REIM2020"
"30",185,15,"REIM2020"
"31",190,7,"REIM2020"
"32",197,2,"REIM2020"
"33",204,0,"REIM2020"
"34",46,9,"IM2019"
"35",50,10,"IM2019"
"36",56,47,"IM2019"
"37",70,52,"IM2019"
"38",77,55,"IM2019"
"39",84,69,"IM2019"
"40",91,64,"IM2019"
"41",96,31,"IM2019"
"42",105,26,"IM2019"
"43",133,11,"IM2019"
"44",140,6,"IM2019"
"45",149,2,"IM2019"
"46",158,0,"IM2019"
"47",133,15,"REIM2019"
"48",140,102,"REIM2019"
"49",149,191,"REIM2019"
"50",158,295,"REIM2019"
"51",168,97,"REIM2019"
"52",175,19,"REIM2019"
"53",186,1,"REIM2019"
"54",45,2,"IM2018"
"55",52,7,"IM2018"
"56",58,13,"IM2018"
"57",66,9,"IM2018"
"58",73,16,"IM2018"
"59",80,28,"IM2018"
"60",87,21,"IM2018"
"61",94,22,"IM2018"
"62",100,15,"IM2018"
"63",108,22,"IM2018"
"64",123,1,"IM2018"
"65",129,2,"IM2018"
"66",137,3,"IM2018"
"67",145,0,"IM2018"
"68",129,0,"REIM2018"
"69",137,6,"REIM2018"
"70",145,29,"REIM2018"
"71",152,39,"REIM2018"
"72",159,31,"REIM2018"
"73",164,22,"REIM2018"
"74",172,14,"REIM2018"
"75",180,0,"REIM2018"
"76",41,0,"IM2017"
"77",54,13,"IM2017"
"78",60,20,"IM2017"
"79",67,21,"IM2017"
"80",74,108,"IM2017"
"81",95,30,"IM2017"
"82",110,6,"IM2017"
"83",117,7,"IM2017"
"84",123,3,"IM2017"
"85",137,0,"IM2017"
"86",123,0,"REIM2017"
"87",137,14,"REIM2017"
"88",143,39,"REIM2017"
"89",157,56,"REIM2017"
"90",166,15,"REIM2017"
"91",174,6,"REIM2017"
"92",29,0,"IM2016"
"93",34,9,"IM2016"
"94",42,19,"IM2016"
"95",49,18,"IM2016"
"96",56,46,"IM2016"
"97",69,29,"IM2016"
"98",76,49,"IM2016"
"99",83,90,"IM2016"
"100",90,91,"IM2016"
"101",97,85,"IM2016"
"102",104,60,"IM2016"
"103",111,37,"IM2016"
"104",125,9,"IM2016"
"105",133,2,"IM2016"
"106",139,3,"IM2016"
"107",146,0,"IM2016"
"108",154,0,"IM2016"
"109",161,1,"IM2016"
"110",169,0,"IM2016"
"111",139,0,"REIM2016"
"112",146,13,"REIM2016"
"113",154,61,"REIM2016"
"114",161,60,"REIM2016"
"115",169,9,"REIM2016"
"116",43,1,"IM2015"
"117",57,6,"IM2015"
"118",65,10,"IM2015"
"119",70,26,"IM2015"
"120",79,68,"IM2015"
"121",85,70,"IM2015"
"122",92,49,"IM2015"
"123",98,25,"IM2015"
"124",106,22,"IM2015"
"125",119,13,"IM2015"
"126",126,15,"IM2015"
"127",133,4,"IM2015"
"128",140,2,"IM2015"
"129",147,2,"IM2015"
"130",155,0,"IM2015"
"131",133,0,"REIM2015"
"132",140,117,"REIM2015"
"133",147,393,"REIM2015"
"134",155,156,"REIM2015"
"135",161,10,"REIM2015"
"136",168,20,"REIM2015"
"137",43,0,"IM2014"
"138",50,1,"IM2014"
"139",57,5,"IM2014"
"140",64,8,"IM2014"
"141",75,19,"IM2014"
"142",87,52,"IM2014"
"143",94,22,"IM2014"
"144",99,16,"IM2014"
"145",106,6,"IM2014"
"146",113,2,"IM2014"
"147",120,0,"IM2014"
"148",120,0,"REIM2014"
"149",134,13,"REIM2014"
"150",143,54,"REIM2014"
"151",155,13,"REIM2014"
"152",162,6,"REIM2014"
"153",38,18,"IM2013"
"154",52,37,"IM2013"
"155",58,40,"IM2013"
"156",71,47,"IM2013"
"157",85,44,"IM2013"
"158",94,37,"IM2013"
"159",99,28,"IM2013"
"160",109,13,"IM2013"
"161",115,10,"IM2013"
"162",127,2,"IM2013"
"163",127,0,"REIM2013"
"164",144,9,"REIM2013"
"165",149,41,"REIM2013"
"166",152,75,"REIM2013"
"167",164,40,"REIM2013"
"168",173,15,"REIM2013"
"169",180,3,"REIM2013"
"170",187,0,"REIM2013"
"171",47,1,"IM2012"
"172",54,3,"IM2012"
"173",60,24,"IM2012"
"174",67,45,"IM2012"
"175",73,43,"IM2012"
"176",82,73,"IM2012"
"177",89,87,"IM2012"
"178",96,51,"IM2012"
"179",102,22,"IM2012"
"180",109,32,"IM2012"
"181",115,34,"IM2012"
"182",124,6,"IM2012"
"183",131,6,"IM2012"
"184",144,1,"IM2012"
"185",165,0,"IM2012"
"186",131,0,"REIM2012"
"187",144,26,"REIM2012"
"188",165,40,"REIM2012"
"189",174,4,"REIM2012"
"190",181,0,"REIM2012"
"191",54,39,"IM2011"
"192",59,69,"IM2011"
"193",67,117,"IM2011"
"194",77,75,"IM2011"
"195",83,52,"IM2011"
"196",91,16,"IM2011"
"197",98,24,"IM2011"
"198",108,45,"IM2011"
"199",119,15,"IM2011"
"200",125,3,"IM2011"
"201",132,1,"IM2011"
"202",139,0,"IM2011"
"203",119,0,"REIM2011"
"204",125,4,"REIM2011"
"205",132,22,"REIM2011"
"206",139,90,"REIM2011"
"207",146,96,"REIM2011"
"208",154,142,"REIM2011"
"209",161,34,"REIM2011"
"210",168,13,"REIM2011"
"211",50,0,"IM2010"
"212",56,0,"IM2010"
"213",61,0,"IM2010"
"214",71,5,"IM2010"
"215",77,26,"IM2010"
"216",85,12,"IM2010"
"217",90,39,"IM2010"
"218",97,23,"IM2010"
"219",106,40,"IM2010"
"220",116,31,"IM2010"
"221",120,38,"IM2010"
"222",127,13,"IM2010"
"223",132,6,"IM2010"
"224",141,4,"IM2010"
"225",148,1,"IM2010"
"226",154,2,"IM2010"
"227",159,0,"IM2010"
"228",141,0,"REIM2010"
"229",148,11,"REIM2010"
"230",154,36,"REIM2010"
"231",159,96,"REIM2010"
"232",169,43,"REIM2010"
"233",174,21,"REIM2010"
"234",182,9,"REIM2010"
"235",188,1,"REIM2010"
"236",36,0,"IM2009"
"237",44,0,"IM2009"
"238",55,3,"IM2009"
"239",65,14,"IM2009"
"240",71,18,"IM2009"
"241",78,34,"IM2009"
"242",85,33,"IM2009"
"243",90,42,"IM2009"
"244",98,26,"IM2009"
"245",105,10,"IM2009"
"246",114,15,"IM2009"
"247",120,5,"IM2009"
"248",127,4,"IM2009"
"249",134,4,"IM2009"
"250",140,2,"IM2009"
"251",149,0,"IM2009"
"252",156,1,"IM2009"
"253",163,0,"IM2009"
"254",170,0,"IM2009"
"255",127,0,"REIM2009"
"256",134,10,"REIM2009"
"257",140,57,"REIM2009"
"258",149,153,"REIM2009"
"259",156,66,"REIM2009"
"260",163,8,"REIM2009"
"261",170,3,"REIM2009"
"262",66,53,"IM2008"
"263",81,30,"IM2008"
"264",88,23,"IM2008"
"265",121,4,"IM2008"
"266",128,2,"IM2008"
"267",135,2,"IM2008"
"268",143,0,"IM2008"
"269",158,1,"IM2008"
"270",135,0,"REIM2008"
"271",143,16,"REIM2008"
"272",150,90,"REIM2008"
"273",158,29,"REIM2008"
"274",54,2,"IM2007"
"275",60,8,"IM2007"
"276",68,12,"IM2007"
"277",73,7,"IM2007"
"278",89,13,"IM2007"
"279",131,9,"REIM2007"
"280",136,36,"REIM2007"
"281",145,35,"REIM2007"
"282",55,0,"IM2006"
"283",68,1,"IM2006"
"284",82,6,"IM2006"
"285",95,19,"IM2006"
"286",104,9,"IM2006"
"287",117,2,"IM2006"
"288",124,4,"IM2006"
"289",132,1,"IM2006"
"290",142,4,"IM2006"
"291",159,0,"IM2006"
"292",132,0,"REIM2006"
"293",142,1,"REIM2006"
"294",159,15,"REIM2006"
"295",167,5,"REIM2006"
"296",177,0,"REIM2006"
"297",20,1,"IM2005"
"298",28,0,"IM2005"
"299",33,0,"IM2005"
"300",39,0,"IM2005"
"301",48,0,"IM2005"
"302",54,0,"IM2005"
"303",61,0,"IM2005"
"304",69,1,"IM2005"
"305",75,4,"IM2005"
"306",84,11,"IM2005"
"307",91,15,"IM2005"
"308",96,17,"IM2005"
"309",103,23,"IM2005"
"310",109,12,"IM2005"
"311",112,12,"IM2005"
"312",117,7,"IM2005"
"313",122,5,"IM2005"
"314",124,12,"IM2005"
"315",131,3,"IM2005"
"316",140,0,"IM2005"
"317",140,1,"REIM2005"
"318",147,7,"REIM2005"
"319",152,11,"REIM2005"
"320",160,39,"REIM2005"
"321",166,18,"REIM2005"
"322",175,3,"REIM2005"
"323",182,1,"REIM2005"
"324",189,0,"REIM2005"
"325",49,23,"IM2004"
"326",56,19,"IM2004"
"327",63,3,"IM2004"
"328",84,22,"IM2004"
"329",92,19,"IM2004"
"330",107,18,"IM2004"
"331",126,9,"IM2004"
"332",134,4,"IM2004"
"333",140,2,"IM2004"
"334",147,2,"IM2004"
"335",155,1,"IM2004"
"336",147,1,"REIM2004"
"337",155,36,"REIM2004"
"338",162,23,"REIM2004"
"339",175,4,"REIM2004"
"340",183,8,"REIM2004"
"341",190,0,"REIM2004"
"342",38,0,"IM2002"
"343",45,6,"IM2002"
"344",52,4,"IM2002"
"345",59,3,"IM2002"
"346",66,19,"IM2002"
"347",73,31,"IM2002"
"348",87,35,"IM2002"
"349",94,18,"IM2002"
"350",101,13,"IM2002"
"351",108,5,"IM2002"
"352",115,0,"IM2002"
"353",115,0,"REIM2002"
"354",122,2,"REIM2002"
"355",129,2,"REIM2002"
"356",136,22,"REIM2002"
"357",143,77,"REIM2002"
"358",150,33,"REIM2002"
"359",157,22,"REIM2002"
"360",164,10,"REIM2002"
"361",171,1,"REIM2002"
"362",178,0,"REIM2002"
"363",24,0,"IM2001"
"364",38,1,"IM2001"
"365",45,6,"IM2001"
"366",52,25,"IM2001"
"367",59,31,"IM2001"
"368",66,68,"IM2001"
"369",73,37,"IM2001"
"370",80,42,"IM2001"
"371",87,27,"IM2001"
"372",94,42,"IM2001"
"373",101,18,"IM2001"
"374",108,15,"IM2001"
"375",115,5,"IM2001"
"376",122,0,"IM2001"
"377",129,1,"REIM2001"
"378",136,41,"REIM2001"
"379",143,40,"REIM2001"
"380",150,33,"REIM2001"
"381",157,4,"REIM2001"
"382",164,2,"REIM2001"
"383",171,2,"REIM2001"
"384",178,0,"REIM2001"
"385",50,22,"IM2000"
"386",57,20,"IM2000"
"387",64,28,"IM2000"
"388",71,44,"IM2000"
"389",78,52,"IM2000"
"390",85,52,"IM2000"
"391",92,78,"IM2000"
"392",99,58,"IM2000"
"393",106,44,"IM2000"
"394",113,22,"IM2000"
"395",120,12,"IM2000"
"396",127,2,"IM2000"
"397",134,0,"IM2000"
"398",134,0,"REIM2000"
"399",141,16,"REIM2000"
"400",148,24,"REIM2000"
"401",155,102,"REIM2000"
"402",162,0,"REIM2000"
