"";"date";"temperature";"humidite"
"1";2014-01-01 00:00:00;7,90000000000003;87
"2";2014-01-01 03:00:00;8,40000000000003;90
"3";2014-01-01 06:00:00;8;92
"4";2014-01-01 09:00:00;8,5;87
"5";2014-01-01 12:00:00;10,9;78
"6";2014-01-01 15:00:00;11,4;86
"7";2014-01-01 18:00:00;11,7;79
"8";2014-01-01 21:00:00;9,30000000000001;91
"9";2014-01-02 00:00:00;11,1;89
"10";2014-01-02 03:00:00;9,30000000000001;89
"11";2014-01-02 06:00:00;8,80000000000001;95
"12";2014-01-02 09:00:00;11,4;94
"13";2014-01-02 12:00:00;13,8;78
"14";2014-01-02 15:00:00;14,8;73
"15";2014-01-02 18:00:00;9,5;82
"16";2014-01-02 21:00:00;7,20000000000005;94
"17";2014-01-03 00:00:00;9,40000000000003;94
"18";2014-01-03 03:00:00;9,80000000000001;94
"19";2014-01-03 06:00:00;10,5;90
"20";2014-01-03 09:00:00;10,5;91
"21";2014-01-03 12:00:00;11,4;88
"22";2014-01-03 15:00:00;11,7;89
"23";2014-01-03 18:00:00;11,3;90
"24";2014-01-03 21:00:00;11,3;92
"25";2014-01-04 00:00:00;11;94
"26";2014-01-04 03:00:00;10,7;96
"27";2014-01-04 06:00:00;10,9;97
"28";2014-01-04 09:00:00;12,8;93
"29";2014-01-04 12:00:00;13,7;93
"30";2014-01-04 15:00:00;13,1;87
"31";2014-01-04 18:00:00;10,8;95
"32";2014-01-04 21:00:00;8,20000000000005;77
"33";2014-01-05 00:00:00;9,60000000000002;59
"34";2014-01-05 03:00:00;9,10000000000002;54
"35";2014-01-05 06:00:00;8;60
"36";2014-01-05 09:00:00;9,90000000000003;59
"37";2014-01-05 12:00:00;12,8;48
"38";2014-01-05 15:00:00;12,9;49
"39";2014-01-05 18:00:00;11;57
"40";2014-01-05 21:00:00;8,10000000000002;70
"41";2014-01-06 00:00:00;6,80000000000001;79
"42";2014-01-06 03:00:00;5,90000000000003;82
"43";2014-01-06 06:00:00;4;86
"44";2014-01-06 09:00:00;7,20000000000005;76
"45";2014-01-06 12:00:00;11,6;55
"46";2014-01-06 15:00:00;12,3;66
"47";2014-01-06 18:00:00;10,4;84
"48";2014-01-06 21:00:00;11,6;88
"49";2014-01-07 00:00:00;10,5;85
"50";2014-01-07 03:00:00;10,3;86
"51";2014-01-07 06:00:00;9,90000000000003;91
"52";2014-01-07 09:00:00;10,8;86
"53";2014-01-07 12:00:00;13;85
"54";2014-01-07 15:00:00;13,4;87
"55";2014-01-07 18:00:00;12,4;92
"56";2014-01-07 21:00:00;11,9;94
"57";2014-01-08 00:00:00;11,9;91
"58";2014-01-08 03:00:00;11,7;91
"59";2014-01-08 06:00:00;11,7;89
"60";2014-01-08 09:00:00;11,9;86
"61";2014-01-08 12:00:00;14,1;84
"62";2014-01-08 15:00:00;13,2;85
"63";2014-01-08 18:00:00;11,7;88
"64";2014-01-08 21:00:00;11,3;90
"65";2014-01-09 00:00:00;11,6;89
"66";2014-01-09 03:00:00;11;89
"67";2014-01-09 06:00:00;10,4;87
"68";2014-01-09 09:00:00;10,8;85
"69";2014-01-09 12:00:00;13,9;75
"70";2014-01-09 15:00:00;13,9;74
"71";2014-01-09 18:00:00;11,2;86
"72";2014-01-09 21:00:00;10;92
"73";2014-01-10 00:00:00;10,7;91
"74";2014-01-10 03:00:00;10,8;91
"75";2014-01-10 06:00:00;10,2;91
"76";2014-01-10 09:00:00;10,5;88
"77";2014-01-10 12:00:00;12,6;79
"78";2014-01-10 15:00:00;13;69
"79";2014-01-10 18:00:00;11,8;78
"80";2014-01-10 21:00:00;11,5;77
"81";2014-01-11 00:00:00;11;83
"82";2014-01-11 03:00:00;10,9;81
"83";2014-01-11 06:00:00;10,6;84
"84";2014-01-11 09:00:00;10,7;86
"85";2014-01-11 12:00:00;12;81
"86";2014-01-11 15:00:00;12,4;82
"87";2014-01-11 18:00:00;11,5;85
"88";2014-01-11 21:00:00;10,8;87
"89";2014-01-12 00:00:00;10,5;89
"90";2014-01-12 03:00:00;9,30000000000001;90
"91";2014-01-12 06:00:00;9,30000000000001;86
"92";2014-01-12 09:00:00;10;83
"93";2014-01-12 12:00:00;11,6;78
"94";2014-01-12 15:00:00;12,5;76
"95";2014-01-12 18:00:00;11,2;83
"96";2014-01-12 21:00:00;10,2;86
"97";2014-01-13 00:00:00;10;88
"98";2014-01-13 03:00:00;8,5;89
"99";2014-01-13 06:00:00;8,40000000000003;93
"100";2014-01-13 09:00:00;10,1;92
"101";2014-01-13 12:00:00;11,1;93
"102";2014-01-13 15:00:00;11,6;95
"103";2014-01-13 18:00:00;10,1;91
"104";2014-01-13 21:00:00;8,90000000000003;89
"105";2014-01-14 00:00:00;7,5;92
"106";2014-01-14 03:00:00;5,80000000000001;81
"107";2014-01-14 06:00:00;4,90000000000003;82
"108";2014-01-14 09:00:00;7,5;77
"109";2014-01-14 12:00:00;11,7;65
"110";2014-01-14 15:00:00;10;78
"111";2014-01-14 18:00:00;9,10000000000002;73
"112";2014-01-14 21:00:00;8,80000000000001;64
"113";2014-01-15 00:00:00;5,70000000000005;73
"114";2014-01-15 03:00:00;2,40000000000003;79
"115";2014-01-15 06:00:00;3,90000000000003;72
"116";2014-01-15 09:00:00;5,5;71
"117";2014-01-15 12:00:00;11;47
"118";2014-01-15 15:00:00;11,4;50
"119";2014-01-15 18:00:00;8,80000000000001;77
"120";2014-01-15 21:00:00;5,20000000000005;78
"121";2014-01-16 00:00:00;5,60000000000002;73
"122";2014-01-16 03:00:00;6,5;91
"123";2014-01-16 06:00:00;7,90000000000003;95
"124";2014-01-16 09:00:00;12,8;90
"125";2014-01-16 12:00:00;12,9;84
"126";2014-01-16 15:00:00;11,4;87
"127";2014-01-16 18:00:00;9,10000000000002;95
"128";2014-01-16 21:00:00;8,90000000000003;95
"129";2014-01-17 00:00:00;8,10000000000002;95
"130";2014-01-17 03:00:00;8,10000000000002;94
"131";2014-01-17 06:00:00;6,90000000000003;88
"132";2014-01-17 09:00:00;8,60000000000002;89
"133";2014-01-17 12:00:00;11,4;83
"134";2014-01-17 15:00:00;13,2;67
"135";2014-01-17 18:00:00;9,60000000000002;89
"136";2014-01-17 21:00:00;12,3;74
"137";2014-01-18 00:00:00;12,3;70
"138";2014-01-18 03:00:00;12,4;79
"139";2014-01-18 06:00:00;12,3;81
"140";2014-01-18 09:00:00;13,2;82
"141";2014-01-18 12:00:00;12,9;83
"142";2014-01-18 15:00:00;12,1;93
"143";2014-01-18 18:00:00;13;91
"144";2014-01-18 21:00:00;13,3;88
"145";2014-01-19 00:00:00;13,3;87
"146";2014-01-19 03:00:00;11;88
"147";2014-01-19 06:00:00;12,3;84
"148";2014-01-19 09:00:00;10,8;84
"149";2014-01-19 12:00:00;10,6;91
"150";2014-01-19 15:00:00;10;90
"151";2014-01-19 18:00:00;9,30000000000001;92
"152";2014-01-19 21:00:00;8,5;94
"153";2014-01-20 00:00:00;8;90
"154";2014-01-20 03:00:00;7,80000000000001;76
"155";2014-01-20 06:00:00;8,30000000000001;70
"156";2014-01-20 09:00:00;8,30000000000001;74
"157";2014-01-20 12:00:00;12,3;53
"158";2014-01-20 15:00:00;12,5;51
"159";2014-01-20 18:00:00;9;61
"160";2014-01-20 21:00:00;8,5;61
"161";2014-01-21 00:00:00;8,30000000000001;58
"162";2014-01-21 03:00:00;7,70000000000005;58
"163";2014-01-21 06:00:00;7,20000000000005;56
"164";2014-01-21 09:00:00;8,60000000000002;51
"165";2014-01-21 12:00:00;12,3;39
"166";2014-01-21 15:00:00;12,5;42
"167";2014-01-21 18:00:00;8,30000000000001;54
"168";2014-01-21 21:00:00;3,70000000000005;70
"169";2014-01-22 00:00:00;3;76
"170";2014-01-22 03:00:00;2,30000000000001;75
"171";2014-01-22 06:00:00;-0,199999999999989;83
"172";2014-01-22 09:00:00;3,60000000000002;73
"173";2014-01-22 12:00:00;8,10000000000002;64
"174";2014-01-22 15:00:00;10;57
"175";2014-01-22 18:00:00;8;69
"176";2014-01-22 21:00:00;7,30000000000001;89
"177";2014-01-23 00:00:00;6,40000000000003;91
"178";2014-01-23 03:00:00;4,70000000000005;94
"179";2014-01-23 06:00:00;5,20000000000005;93
"180";2014-01-23 09:00:00;8,90000000000003;67
"181";2014-01-23 12:00:00;13,4;45
"182";2014-01-23 15:00:00;12,7;41
"183";2014-01-23 18:00:00;9,5;53
"184";2014-01-23 21:00:00;9,40000000000003;57
"185";2014-01-24 00:00:00;8,5;71
"186";2014-01-24 03:00:00;10,5;56
"187";2014-01-24 06:00:00;10,5;57
"188";2014-01-24 09:00:00;10,4;61
"189";2014-01-24 12:00:00;10,3;65
"190";2014-01-24 15:00:00;7,30000000000001;84
"191";2014-01-24 18:00:00;5,90000000000003;74
"192";2014-01-24 21:00:00;6;69
"193";2014-01-25 00:00:00;4,10000000000002;68
"194";2014-01-25 03:00:00;3,5;60
"195";2014-01-25 06:00:00;4,70000000000005;55
"196";2014-01-25 09:00:00;6,60000000000002;47
"197";2014-01-25 12:00:00;10,1;46
"198";2014-01-25 15:00:00;14;50
"199";2014-01-25 18:00:00;12,7;65
"200";2014-01-25 21:00:00;10,4;65
"201";2014-01-26 00:00:00;12,7;59
"202";2014-01-26 03:00:00;12;54
"203";2014-01-26 06:00:00;4,5;80
"204";2014-01-26 09:00:00;13,2;53
"205";2014-01-26 12:00:00;15,6;45
"206";2014-01-26 15:00:00;16;52
"207";2014-01-26 18:00:00;13,5;69
"208";2014-01-26 21:00:00;12,4;75
"209";2014-01-27 00:00:00;11,8;85
"210";2014-01-27 03:00:00;12,4;55
"211";2014-01-27 06:00:00;9,70000000000005;57
"212";2014-01-27 09:00:00;10,1;57
