,day,IM,REIM,year,city,location,department,lon,lat,temperature
1,50,0,NA,2018,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
2,57,0,NA,2018,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
3,64,14,NA,2018,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
4,71,6,NA,2018,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
5,78,15,NA,2018,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
6,85,20,NA,2018,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
7,92,25,NA,2018,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
8,99,80,NA,2018,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
9,106,100,NA,2018,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
10,113,60,NA,2018,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
11,120,90,NA,2018,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
12,127,20,NA,2018,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
13,134,22,NA,2018,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
14,141,10,0,2018,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
15,148,5,5,2018,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
16,155,2,42,2018,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
17,162,0,50,2018,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
18,53,0,NA,2019,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
19,57,30,NA,2019,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
20,63,56,NA,2019,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
21,70,40,NA,2019,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
22,79,200,NA,2019,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
23,84,240,NA,2019,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
24,91,120,NA,2019,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
25,98,100,NA,2019,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
26,107,140,NA,2019,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
27,112,200,NA,2019,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
28,119,140,NA,2019,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
29,126,140,NA,2019,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
30,133,60,NA,2019,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
31,140,100,0,2019,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
32,147,60,2,2019,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
33,154,15,50,2019,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
34,161,8,128,2019,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
35,169,0,140,2019,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
36,175,0,20,2019,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
37,182,NA,20,2019,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
38,189,NA,8,2019,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
39,99,180,NA,2020,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
40,104,240,NA,2020,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
41,111,140,NA,2020,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
42,118,110,NA,2020,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
43,125,60,NA,2020,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
44,133,10,NA,2020,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
45,139,8,0,2020,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
46,146,8,12,2020,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
47,153,8,40,2020,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
48,160,0,NA,2020,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
49,186,NA,5,2020,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
50,188,NA,5,2020,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
51,195,NA,5,2020,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
52,89,91,NA,2021,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
53,96,284,NA,2021,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
54,103,131,NA,2021,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
55,110,140,NA,2021,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
56,117,67,NA,2021,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
57,124,40,NA,2021,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
58,131,5,NA,2021,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
59,138,20,NA,2021,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
60,145,14,NA,2021,Valais Suisse,Chateauneuf,Switzerland,7.338532,46.213454,NA
61,31,0,NA,2001,Torreilles,Sica Centrex,Pyrenees Orientales,2.978153,42.755583,11.9
62,45,10,NA,2001,Torreilles,Sica Centrex,Pyrenees Orientales,2.978153,42.755583,11.2
63,52,8,NA,2001,Torreilles,Sica Centrex,Pyrenees Orientales,2.978153,42.755583,10.1
64,59,3,NA,2001,Torreilles,Sica Centrex,Pyrenees Orientales,2.978153,42.755583,8.9
