"","A","B","lat","long","type"
"23","not species A","species B",48.310556,16.375833,"B"
"24","not species A","species B",48.330833,16.3975,"B"
"57","not species A","species B",48.31195,16.36138889,"B"
"58","not species A","species B",48.31195,16.36138889,"B"
"76","not species A","species B",50.646704,5.916799,"B"
"90","not species A","species B",44.76666667,17.18333333,"B"
"210","not species A","species B",48.97564722,14.48028056,"B"
"211","not species A","species B",48.97564722,14.48028056,"B"
"273","species A","species B",41.77248056,2.75928889,"AB"
"274","species A","species B",42.62016389,2.43556389,"AB"
"275","species A","species B",42.755584,2.978153,"AB"
"276","not species A","species B",43.59004444,2.86175556,"B"
"277","species A","species B",43.70493056,3.85021667,"AB"
"278","species A","species B",43.79491389,7.03845833,"AB"
"279","species A","not species B",43.94938611,3.27991944,"A"
"280","species A","species B",44.38695,3.12434444,"AB"
"281","species A","species B",44.58199444,6.10676944,"AB"
"282","species A","not species B",44.65276389,4.44433889,"A"
"283","not species A","species B",46.10682778,1.07935,"B"
"284","species A","species B",46.73384444,0.5102,"AB"
"292","species A","species B",42.755584,2.978153,"AB"
"293","species A","species B",43.70493056,3.85021667,"AB"
"294","species A","species B",43.79491389,7.03845833,"AB"
"295","species A","species B",44.38695,3.12434444,"AB"
"296","species A","species B",46.73384444,0.5102,"AB"
"297","species A","species B",43.79549722,3.77894722,"AB"
"298","species A","not species B",43.94938611,3.27991944,"A"
"311","species A","species B",41.77248056,2.75928889,"AB"
"312","species A","species B",42.62016389,2.43556389,"AB"
"313","species A","species B",42.755584,2.978153,"AB"
"314","species A","species B",43.24193611,-1.30187778,"AB"
"315","not species A","species B",43.59004444,2.86175556,"B"
"316","species A","species B",43.65981667,3.82015556,"AB"
"317","species A","species B",43.65981667,3.82015556,"AB"
"318","species A","species B",43.70493056,3.85021667,"AB"
"319","species A","species B",43.79491389,7.03845833,"AB"
"320","species A","not species B",43.94938611,3.27991944,"A"
"321","species A","species B",44.38695,3.12434444,"AB"
"322","species A","species B",44.58199444,6.10676944,"AB"
"323","species A","not species B",44.65276389,4.44433889,"A"
"324","not species A","species B",46.10682778,1.07935,"B"
"325","not species A","species B",46.35090556,2.98940833,"B"
"326","species A","species B",46.73384444,0.5102,"AB"
"327","species A","not species B",47.34592778,-0.53835833,"A"
"328","species A","not species B",47.34689722,-0.48671667,"A"
"329","species A","species B",47.48706389,-0.61936389,"AB"
"330","species A","species B",48.41036944,2.28891944,"AB"
"331","species A","species B",48.83704167,2.04164722,"AB"
"332","species A","species B",48.83716389,2.02218889,"AB"
"333","not species A","species B",48.84529444,2.00266111,"B"
"347","species A","not species B",42.49590278,2.66828889,"A"
"348","species A","not species B",42.58145556,2.61740556,"A"
"349","species A","species B",42.60644444,2.40398333,"AB"
"350","species A","species B",42.60644444,2.40398333,"AB"
"351","species A","species B",42.60829167,2.40753333,"AB"
"352","species A","species B",42.63172222,2.45939444,"AB"
"353","species A","species B",42.64865278,2.55645833,"AB"
"354","species A","species B",42.64865278,2.55645833,"AB"
"355","species A","species B",42.68806389,2.25086389,"AB"
"356","species A","species B",42.77529444,2.97297222,"AB"
"357","species A","species B",42.77529444,2.97297222,"AB"
"358","species A","species B",42.3763,2.47196944,"AB"
"359","species A","species B",42.62016389,2.43556389,"AB"
"360","species A","species B",42.74138889,2.985,"AB"
"361","species A","species B",42.74138889,2.985,"AB"
"362","species A","species B",42.79408056,2.69851667,"AB"
"363","species A","species B",43.10667222,2.744675,"AB"
"364","species A","species B",43.18043056,2.55804722,"AB"
"365","species A","species B",43.20552778,2.57458333,"AB"
"366","species A","species B",43.27813889,2.59662222,"AB"
"367","species A","species B",43.31991667,3.03988333,"AB"
"368","species A","species B",43.47797778,2.65956667,"AB"
"369","species A","not species B",43.63613889,4.78719444,"A"
"370","species A","species B",43.63838889,4.83044444,"AB"
"371","species A","species B",43.64083333,4.85833333,"AB"
"372","species A","not species B",43.64319444,4.89908333,"A"
"373","species A","species B",43.65019444,4.67627778,"AB"
"374","species A","not species B",43.66986111,4.93402778,"A"
"375","species A","not species B",43.68898611,4.909175,"A"
"376","species A","species B",43.70194444,4.83416667,"AB"
"377","species A","not species B",43.74652778,4.91922222,"A"
"378","species A","not species B",43.97583333,5.07361111,"A"
"379","species A","species B",44.07275278,5.08619167,"AB"
"380","not species A","species B",44.32733056,4.61770833,"B"
"381","species A","species B",44.32733056,4.61770833,"AB"
"382","species A","species B",44.67996111,4.45426111,"AB"
"383","species A","species B",44.71476111,4.82953611,"AB"
"384","species A","species B",44.721375,4.82788333,"AB"
"385","species A","species B",44.81946389,4.88701389,"AB"
"386","species A","species B",44.84875278,4.89435556,"AB"
"387","species A","species B",44.85016111,4.89412778,"AB"
"388","species A","species B",44.97335,4.93313611,"AB"
"389","species A","species B",45.059575,5.01420278,"AB"
"390","species A","species B",45.07919722,4.96988889,"AB"
"391","species A","species B",45.07919722,4.96988889,"AB"
"392","species A","species B",45.07989444,4.97523333,"AB"
"393","species A","species B",45.08712222,4.97697222,"AB"
"394","species A","species B",45.09506111,5.04139167,"AB"
"396","not species A","species B",41.95491667,9.38263333,"B"
"397","not species A","species B",42.10266667,9.24356667,"B"
"398","not species A","species B",42.19581667,9.52596667,"B"
"399","not species A","species B",42.22713333,9.23161667,"B"
"400","not species A","species B",42.33991667,9.03056667,"B"
"401","species A","species B",42.3769,2.47393056,"AB"
"402","not species A","species B",42.38805,9.35136667,"B"
"403","not species A","species B",42.40478333,2.06649167,"B"
"404","species A","species B",42.40680278,2.52971389,"AB"
"405","not species A","species B",42.4268,9.35578333,"B"
"406","species A","species B",42.44904167,2.61836667,"AB"
"407","species A","species B",42.49419722,3.07943889,"AB"
"409","species A","species B",42.50905278,2.773525,"AB"
"410","not species A","species B",42.51671667,9.46131667,"B"
"411","not species A","species B",42.53065,9.4806,"B"
"414","species A","not species B",42.60736667,2.60248333,"A"
"415","species A","species B",42.62016389,2.43556389,"AB"
"416","species A","species B",42.62017222,2.43560833,"AB"
"417","species A","not species B",42.63172222,2.45939444,"A"
"418","species A","not species B",42.64365833,2.45768611,"A"
"419","species A","species B",42.65860833,2.58972222,"AB"
"420","species A","species B",42.65861944,2.58973056,"AB"
"421","species A","species B",42.65861944,2.58973056,"AB"
"422","not species A","species B",42.68806389,2.25086389,"B"
"423","species A","species B",42.68806389,2.25086389,"AB"
"424","not species A","species B",42.68806389,2.25086389,"B"
"425","species A","species B",42.68806389,2.25086389,"AB"
"426","not species A","species B",42.698375,2.09873611,"B"
"427","species A","species B",42.72883611,2.94210556,"AB"
"428","species A","species B",42.72883611,2.94210556,"AB"
"429","species A","species B",42.73344722,2.99762222,"AB"
"430","species A","species B",42.74138889,2.985,"AB"
"431","species A","species B",42.74138889,2.985,"AB"
"432","species A","species B",42.74138889,2.985,"AB"
"433","species A","species B",42.74138889,2.985,"AB"
"436","species A","species B",42.79414722,2.69854167,"AB"
"438","species A","species B",42.99105,2.8027,"AB"
"439","not species A","species B",43.00921944,1.50078611,"B"
"440","species A","species B",43.0371,2.96885278,"AB"
"441","species A","species B",43.03716389,2.96885833,"AB"
"442","species A","species B",43.05586389,2.13161111,"AB"
"443","species A","species B",43.05670278,2.90296111,"AB"
"444","not species A","species B",43.07856111,0.44034167,"B"
"445","not species A","species B",43.08414722,1.91147778,"B"
"446","species A","species B",43.08436944,1.65536944,"AB"
"447","not species A","species B",43.08837778,1.28812222,"B"
"448","species A","species B",43.15847222,1.98804167,"AB"
"449","not species A","species B",43.16940556,1.10487778,"B"
"450","not species A","species B",43.17777778,0.57861111,"B"
"451","not species A","species B",43.19381389,0.60904444,"B"
"452","species A","species B",43.24869167,-1.04996111,"AB"
"453","species A","species B",43.27473611,2.77087222,"AB"
"454","species A","species B",43.30949722,3.13773333,"AB"
"455","species A","species B",43.31047778,2.94964444,"AB"
"456","species A","species B",43.31047778,2.94964444,"AB"
"457","species A","species B",43.31047778,2.94964444,"AB"
"458","species A","species B",43.32006111,3.04006111,"AB"
"459","species A","not species B",43.32735833,5.71762778,"A"
"460","species A","species B",43.35243611,3.42201944,"AB"
"461","species A","species B",43.36268611,-1.51549167,"AB"
"462","species A","species B",43.36789722,2.30155,"AB"
"463","species A","species B",43.37161111,-0.92400833,"AB"
"464","species A","species B",43.39023056,3.32112222,"AB"
"465","species A","species B",43.39629167,3.32756389,"AB"
"466","not species A","species B",43.44574722,-0.70823333,"B"
"467","species A","species B",43.44990833,3.55699722,"AB"
"468","species A","not species B",43.4683,3.67348056,"A"
"469","species A","species B",43.47817778,2.65948889,"AB"
"470","species A","species B",43.48109167,3.46754444,"AB"
"471","not species A","species B",43.48380833,1.31875278,"B"
"472","not species A","species B",43.49095556,1.31927222,"B"
"473","species A","species B",43.50886944,3.84450833,"AB"
"474","species A","species B",43.50975556,3.84682778,"AB"
"475","species A","species B",43.50975556,3.84682778,"AB"
"476","species A","species B",43.51091667,2.74430556,"AB"
"477","species A","not species B",43.513,3.85358889,"A"
"478","not species A","species B",43.51366667,2.32578889,"B"
"479","species A","not species B",43.5158,3.85128889,"A"
"480","not species A","species B",43.53110833,1.51536667,"B"
"482","species A","species B",43.5396,3.76241111,"AB"
"483","species A","species B",43.54673889,2.74111667,"AB"
"484","species A","species B",43.54681944,2.74145556,"AB"
"485","species A","species B",43.54682778,2.74134444,"AB"
"486","not species A","species B",43.55201111,2.79400833,"B"
"487","not species A","species B",43.58690833,1.84874167,"B"
"488","species A","species B",43.58918056,3.82096111,"AB"
"489","species A","species B",43.58926944,3.82089722,"AB"
"490","not species A","species B",43.59004444,2.86175556,"B"
"492","species A","species B",43.59949444,2.84007778,"AB"
"493","species A","species B",43.59969722,3.14026944,"AB"
"494","species A","species B",43.60275,3.27246944,"AB"
"495","species A","species B",43.60400833,3.27373333,"AB"
"496","species A","species B",43.60419444,2.82332778,"AB"
"497","species A","species B",43.604475,3.27413056,"AB"
"498","species A","species B",43.60625,2.81022778,"AB"
"499","species A","species B",43.60640833,2.80919167,"AB"
"501","species A","species B",43.60888889,3.30910556,"AB"
"502","species A","species B",43.61143889,3.32217222,"AB"
"504","species A","species B",43.63122778,3.69391667,"AB"
"505","species A","species B",43.644875,3.47278056,"AB"
"507","species A","not species B",43.65981667,3.82015556,"A"
"508","species A","not species B",43.65981667,3.82015556,"A"
"509","species A","not species B",43.65981667,3.82015556,"A"
"510","species A","not species B",43.65981667,3.82015556,"A"
"511","species A","not species B",43.65981667,3.82015556,"A"
"512","species A","not species B",43.65981667,3.82015556,"A"
"513","species A","not species B",43.65981667,3.82015556,"A"
"514","species A","not species B",43.65981667,3.82015556,"A"
"515","species A","not species B",43.65981667,3.82015556,"A"
"516","species A","not species B",43.65981667,3.82015556,"A"
"517","species A","not species B",43.65981667,3.82015556,"A"
"518","species A","species B",43.65981667,3.82015556,"AB"
"519","species A","species B",43.65981667,3.82015556,"AB"
"520","species A","species B",43.65981667,3.82015556,"AB"
"521","species A","species B",43.65981667,3.82015556,"AB"
"522","species A","species B",43.65981667,3.82015556,"AB"
"523","species A","species B",43.65981667,3.82015556,"AB"
"524","species A","species B",43.65981667,3.82015556,"AB"
"525","species A","species B",43.65981667,3.82015556,"AB"
"526","species A","species B",43.65981667,3.82015556,"AB"
"527","species A","species B",43.65981667,3.82015556,"AB"
"528","species A","species B",43.65981667,3.82015556,"AB"
"529","species A","species B",43.65981667,3.82015556,"AB"
