"";"date";"temperature";"humidite";"ID"
"1";2002-01-01;2,96250000000003;45,875;2002
"2";2002-01-02;4,01250000000003;68,5;2002
"3";2002-01-03;6,75000000000002;88;2002
"4";2002-01-04;7,27500000000003;77,625;2002
"5";2002-01-05;4,37500000000004;83,75;2002
"6";2002-01-06;2,98750000000003;86,75;2002
"7";2002-01-07;1,26250000000002;84,125;2002
"8";2002-01-08;6,15000000000002;87,625;2002
"9";2002-01-09;5,43750000000003;86,375;2002
"10";2002-01-10;5,57500000000002;84,5;2002
"11";2002-01-11;5,45000000000002;88;2002
"12";2002-01-12;4,53750000000003;79,875;2002
"13";2002-01-13;4,27500000000003;84,625;2002
"14";2002-01-14;5,95000000000002;81,25;2002
"15";2002-01-15;5,42500000000002;92,5;2002
"16";2002-01-16;7,26250000000002;75,875;2002
"17";2002-01-17;4,52500000000002;70,625;2002
"18";2002-01-18;4,16250000000002;70,25;2002
"19";2002-01-19;3,21250000000002;80,625;2002
"20";2002-01-20;6,15000000000001;79,75;2002
"21";2002-01-21;5,53750000000002;85,75;2002
"22";2002-01-22;10,6375;80,5;2002
"23";2002-01-23;7,58750000000003;91,875;2002
"24";2002-01-24;11,5;72,25;2002
"25";2002-01-25;11,025;63,25;2002
"26";2002-01-26;10;79,5;2002
"27";2002-01-27;8,50000000000002;89,875;2002
"28";2002-01-28;12,475;70,625;2002
"29";2002-01-29;9,73750000000001;84,625;2002
"30";2002-01-30;10,775;91,75;2002
"31";2002-01-31;10,95;84,875;2002
"32";2002-02-01;9,03750000000002;81,625;2002
"33";2002-02-02;9,97500000000002;90;2002
"34";2002-02-03;11,775;91;2002
"35";2002-02-04;11,2375;95,25;2002
"36";2002-02-05;10,7;97,5;2002
"37";2002-02-06;10,95;64,125;2002
"38";2002-02-07;9,97500000000003;42,75;2002
"39";2002-02-08;9,41250000000003;61,75;2002
"40";2002-02-09;11,3;71,5;2002
"41";2002-02-10;13,675;55,375;2002
"42";2002-02-11;10,7;75,5;2002
"43";2002-02-12;10,175;74,375;2002
"44";2002-02-13;11,0125;76,125;2002
"45";2002-02-14;8,73750000000003;71,375;2002
"46";2002-02-15;6,30000000000003;86,75;2002
"47";2002-02-16;6,05000000000002;92,125;2002
"48";2002-02-17;6,36250000000003;96,875;2002
"49";2002-02-18;8,32500000000002;70,25;2002
"50";2002-02-19;8,60000000000002;55;2002
"51";2002-02-20;9,27500000000003;70,75;2002
"52";2002-02-21;9,57500000000001;42,875;2002
"53";2002-02-22;8,33750000000002;50,125;2002
"54";2002-02-23;13,85;62,25;2002
"55";2002-02-24;12,4375;49,75;2002
"56";2002-02-25;12,7625;60,875;2002
"57";2002-02-26;10,7625;82,125;2002
"58";2002-02-27;9,15000000000003;95,125;2002
"59";2002-02-28;12,375;61,125;2002
"60";2002-03-01;10,1625;84,75;2002
"61";2002-03-02;9,67500000000002;84,5;2002
"62";2002-03-03;8,40000000000003;70,875;2002
"63";2002-03-04;9,13750000000002;65,125;2002
"64";2002-03-05;9,53750000000002;82;2002
"65";2002-03-06;10,7625;72,25;2002
"66";2002-03-07;12,2;65;2002
"67";2002-03-08;13,9625;60,625;2002
"68";2002-03-09;12,1875;68,25;2002
"69";2002-03-10;13,0625;55;2002
"70";2002-03-11;10,6125;74,875;2002
"71";2002-03-12;12,4375;89,875;2002
"72";2002-03-13;11,875;75,75;2002
"73";2002-03-14;13,9;82,5;2002
"74";2002-03-15;12,475;89,375;2002
"75";2002-03-16;13,275;90,5;2002
"76";2002-03-17;13,1875;83,375;2002
"77";2002-03-18;13,3375;90,125;2002
"78";2002-03-19;15,2125;76,75;2002
"79";2002-03-20;19,075;57;2002
"80";2002-03-21;18,55;52,375;2002
"81";2002-03-22;18,625;49,625;2002
"82";2002-03-23;15,9125;35,625;2002
"83";2002-03-24;12,15;33,625;2002
"84";2002-03-25;9,93750000000002;38;2002
"85";2002-03-26;9,71250000000002;45,125;2002
"86";2002-03-27;10,175;53,375;2002
"87";2002-03-28;10,5375;64,125;2002
"88";2002-03-29;10,2625;64,25;2002
"89";2002-03-30;11,35;65,375;2002
"90";2002-03-31;10,35;83,25;2002
"91";2002-04-01;12,15;87,5;2002
"92";2002-04-02;11,7875;84,875;2002
"93";2002-04-03;13,0625;71,875;2002
"94";2002-04-04;15,4875;59,375;2002
"95";2002-04-05;14,6625;68;2002
"96";2002-04-06;12,25;87,75;2002
"97";2002-04-07;12,9;90,875;2002
"98";2002-04-08;14,75;73,25;2002
"99";2002-04-09;14,475;75,625;2002
"100";2002-04-10;10,1625;73,625;2002
"101";2002-04-11;10,9875;90,875;2002
"102";2002-04-12;13,725;83,125;2002
"103";2002-04-13;12,9;71,875;2002
"104";2002-04-14;12,1375;59;2002
"105";2002-04-15;10,6;49;2002
"106";2002-04-16;12,525;45,375;2002
"107";2002-04-17;13;55,5;2002
"108";2002-04-18;15,1625;53,5;2002
"109";2002-04-19;15,575;45,875;2002
"110";2002-04-20;15,75;38,5;2002
"111";2002-04-21;15,7375;43,5;2002
"112";2002-04-22;15,8125;60;2002
"113";2002-04-23;18,9625;46,25;2002
"114";2002-04-24;20,6;45,875;2002
"115";2002-04-25;21,325;50,75;2002
"116";2002-04-26;19,0625;59,25;2002
"117";2002-04-27;17,8375;43,125;2002
"118";2002-04-28;13,6125;69,75;2002
"119";2002-04-29;16,7375;54,375;2002
"120";2002-04-30;14,5625;68,625;2002
"121";2002-05-01;14,8625;88,875;2002
"122";2002-05-02;12,125;83,375;2002
"123";2002-05-03;13,775;60,25;2002
"124";2002-05-04;14,6375;49;2002
"125";2002-05-05;13,05;54,25;2002
"126";2002-05-06;11,8625;68;2002
"127";2002-05-07;15,9125;62,125;2002
"128";2002-05-08;15,225;86,875;2002
"129";2002-05-09;15,3125;92,5;2002
"130";2002-05-10;14,525;85,125;2002
"131";2002-05-11;16,5875;56,625;2002
"132";2002-05-12;16,8375;59,375;2002
"133";2002-05-13;15,525;75,625;2002
"134";2002-05-14;18,525;66,5;2002
"135";2002-05-15;18,05;64,5;2002
"136";2002-05-16;17,8125;80;2002
"137";2002-05-17;17,725;80,125;2002
"138";2002-05-18;16,825;76,25;2002
"139";2002-05-19;20,6375;46,75;2002
"140";2002-05-20;19,65;58,875;2002
"141";2002-05-21;17,2625;79,625;2002
"142";2002-05-22;17,925;90,25;2002
"143";2002-05-23;17,3625;69,625;2002
"144";2002-05-24;20,075;46,5;2002
"145";2002-05-25;19,7;52,25;2002
"146";2002-05-26;17,2875;53,25;2002
"147";2002-05-27;16,0625;52,75;2002
"148";2002-05-28;18,1;50,375;2002
"149";2002-05-29;21;54,25;2002
"150";2002-05-30;19,0125;55,75;2002
"151";2002-05-31;21,6875;52,125;2002
"152";2002-06-01;18,725;79,375;2002
"153";2002-06-02;19,45;83,5;2002
"154";2002-06-03;19,9125;85,625;2002
"155";2002-06-04;20,075;81;2002
"156";2002-06-05;18,625;75,5;2002
"157";2002-06-06;13,6625;80,125;2002
"158";2002-06-07;18,2375;55,25;2002
"159";2002-06-08;14,475;84,75;2002
"160";2002-06-09;18,25;60,125;2002
"161";2002-06-10;18,875;49,5;2002
"162";2002-06-11;21,0625;51,125;2002
"163";2002-06-12;20,175;63,125;2002
"164";2002-06-13;20,575;75,125;2002
"165";2002-06-14;19,725;86,25;2002
"166";2002-06-15;19,8625;85,5;2002
"167";2002-06-16;22,8833333333334;67;2002
"168";2002-06-17;22,075;63,5;2002
"169";2002-06-18;23,0875;57,875;2002
"170";2002-06-19;23,425;66,125;2002
"171";2002-06-20;24,4375;69,25;2002
"172";2002-06-21;24;79,625;2002
"173";2002-06-22;27,7714285714286;67,1428571428571;2002
"174";2002-06-23;25,9375;74,375;2002
"175";2002-06-24;27,2875;62,75;2002
"176";2002-06-25;26,8875;44,625;2002
"177";2002-06-26;25,6375;43,75;2002
"178";2002-06-27;23,5375;74,25;2002
"179";2002-06-28;25,1125;48;2002
"180";2002-06-29;22,5125;36;2002
"181";2002-06-30;22,7;47,25;2002
"182";2002-07-01;21,2;63,25;2002
"183";2002-07-02;23;57,125;2002
"184";2002-07-03;20,625;68,5;2002
"185";2002-07-04;22,9125;39,625;2002
"186";2002-07-05;20,9125;57,5;2002
"187";2002-07-06;22,15;58,375;2002
"188";2002-07-07;21,85;57,625;2002
"189";2002-07-08;21,35;69,125;2002
"190";2002-07-09;21,7875;79,875;2002
"191";2002-07-10;23,2125;66;2002
"192";2002-07-11;23,9375;48;2002
"193";2002-07-12;23,8;58,875;2002
"194";2002-07-13;23,1875;45,25;2002
"195";2002-07-14;21,8375;47,875;2002
"196";2002-07-15;22,8125;53,5;2002
"197";2002-07-16;21,3375;76;2002
"198";2002-07-17;25,5875;48;2002
"199";2002-07-18;25,9625;42,75;2002
"200";2002-07-19;23,2875;54,875;2002
"201";2002-07-20;21,1125;79,375;2002
"202";2002-07-21;22,875;85,375;2002
"203";2002-07-22;25,5875;61,875;2002
"204";2002-07-23;27,3125;44,25;2002
"205";2002-07-24;24,9625;44,125;2002
"206";2002-07-25;24,725;44,5;2002
"207";2002-07-26;25,6;46,5;2002
"208";2002-07-27;23,375;64,375;2002
"209";2002-07-28;22,1125;86,125;2002
"210";2002-07-29;23,125;86,125;2002
"211";2002-07-30;25,5125;72,75;2002
"212";2002-07-31;25,3125;52,75;2002
"213";2002-08-01;19,95;71,125;2002
"214";2002-08-02;21,025;58,75;2002
"215";2002-08-03;21,875;61,75;2002
"216";2002-08-04;24;65,125;2002
"217";2002-08-05;23,55;58,75;2002
"218";2002-08-06;23,5;57,375;2002
"219";2002-08-07;24,6875;47,5;2002
"220";2002-08-08;23,825;49,375;2002
"221";2002-08-09;21,6375;58,125;2002
"222";2002-08-10;20,7375;48;2002
"223";2002-08-11;21,6875;46,5;2002
"224";2002-08-12;22,3625;50,625;2002
"225";2002-08-13;23,85;47,625;2002
"226";2002-08-14;23,05;53,375;2002
"227";2002-08-15;21,6125;71,25;2002
"228";2002-08-16;26,0625;57,75;2002
"229";2002-08-17;23,1375;72,25;2002
"230";2002-08-18;21,1625;89,5;2002
"231";2002-08-19;22,875;84;2002
"232";2002-08-20;22,825;82,5;2002
"233";2002-08-21;24,0875;61,125;2002
"234";2002-08-22;22,2875;59,75;2002
"235";2002-08-23;21,175;74,75;2002
"236";2002-08-24;21,3875;78,375;2002
"237";2002-08-25;20,925;86;2002
"238";2002-08-26;19,4875;91,625;2002
"239";2002-08-27;21,025;73,125;2002
"240";2002-08-28;22,65;54;2002
"241";2002-08-29;24,8;51,625;2002
"242";2002-08-30;24,0125;63,875;2002
"243";2002-08-31;22,7125;73;2002
"244";2002-09-01;23,7875;52,625;2002
"245";2002-09-02;21,35;70;2002
"246";2002-09-03;21,4375;83,125;2002
"247";2002-09-04;20,225;78,625;2002
"248";2002-09-05;20,5625;71,5;2002
"249";2002-09-06;21,075;56,25;2002
"250";2002-09-07;19,675;64,625;2002
"251";2002-09-08;19,425;88,75;2002
"252";2002-09-09;20,6875;82,875;2002
"253";2002-09-10;20,4875;59,5;2002
"254";2002-09-11;20,0125;49,875;2002
"255";2002-09-12;17,525;67,375;2002
"256";2002-09-13;17,45;78,875;2002
"257";2002-09-14;18,8125;75,375;2002
"258";2002-09-15;19,825;65,375;2002
"259";2002-09-16;18,4375;70,125;2002
"260";2002-09-17;20,1375;87,25;2002
"261";2002-09-18;21,0125;88,875;2002
"262";2002-09-19;20,8625;88,625;2002
"263";2002-09-20;20,8875;84,375;2002
"264";2002-09-21;20,625;83,25;2002
"265";2002-09-22;20,375;62,125;2002
"266";2002-09-23;16,925;45,375;2002
"267";2002-09-24;14,9375;47,375;2002
"268";2002-09-25;14,525;42,625;2002
"269";2002-09-26;16,075;48;2002
"270";2002-09-27;16,9625;48;2002
"271";2002-09-28;16,425;51,25;2002
"272";2002-09-29;14,85;69,375;2002
"273";2002-09-30;15,325;76,5;2002
"274";2002-10-01;16,6;78;2002
"275";2002-10-02;15,5375;78,375;2002
"276";2002-10-03;16,8625;71,75;2002
"277";2002-10-04;18,475;67,125;2002
