"";"date";"temperature";"humidite"
"1";2011-01-01 00:00:00;8,30000000000001;95
"2";2011-01-01 03:00:00;7,60000000000002;94
"3";2011-01-01 06:00:00;7;83
"4";2011-01-01 09:00:00;7,70000000000005;86
"5";2011-01-01 12:00:00;10,2;71
"6";2011-01-01 15:00:00;10,8;69
"7";2011-01-01 18:00:00;7,10000000000002;85
"8";2011-01-01 21:00:00;4,30000000000001;89
"9";2011-01-02 00:00:00;3,20000000000005;91
"10";2011-01-02 03:00:00;1;95
"11";2011-01-02 06:00:00;0,5;90
"12";2011-01-02 09:00:00;3,30000000000001;84
"13";2011-01-02 12:00:00;8,80000000000001;54
"14";2011-01-02 15:00:00;8,70000000000005;53
"15";2011-01-02 18:00:00;4,30000000000001;68
"16";2011-01-02 21:00:00;3;64
"17";2011-01-03 00:00:00;0,900000000000034;75
"18";2011-01-03 03:00:00;-0,699999999999989;78
"19";2011-01-03 06:00:00;-1,39999999999998;76
"20";2011-01-03 09:00:00;1,5;63
"21";2011-01-03 12:00:00;6,30000000000001;39
"22";2011-01-03 15:00:00;7,70000000000005;42
"23";2011-01-03 18:00:00;4,5;59
"24";2011-01-03 21:00:00;2,30000000000001;64
"25";2011-01-04 00:00:00;2,70000000000005;60
"26";2011-01-04 03:00:00;1,30000000000001;71
"27";2011-01-04 06:00:00;0,300000000000011;82
"28";2011-01-04 09:00:00;2;74
"29";2011-01-04 12:00:00;3,70000000000005;84
"30";2011-01-04 15:00:00;4,10000000000002;84
"31";2011-01-04 18:00:00;3,30000000000001;84
"32";2011-01-04 21:00:00;0,100000000000023;93
"33";2011-01-05 00:00:00;0,400000000000034;95
"34";2011-01-05 03:00:00;1,70000000000005;91
"35";2011-01-05 06:00:00;2,30000000000001;95
"36";2011-01-05 09:00:00;3,30000000000001;95
"37";2011-01-05 12:00:00;4,5;94
"38";2011-01-05 15:00:00;5,5;91
"39";2011-01-05 18:00:00;5,90000000000003;90
"40";2011-01-05 21:00:00;5,80000000000001;94
"41";2011-01-06 00:00:00;6;96
"42";2011-01-06 03:00:00;6,40000000000003;98
"43";2011-01-06 06:00:00;6,90000000000003;98
"44";2011-01-06 09:00:00;7,40000000000003;96
"45";2011-01-06 12:00:00;8,30000000000001;98
"46";2011-01-06 15:00:00;9,30000000000001;95
"47";2011-01-06 18:00:00;9,30000000000001;95
"48";2011-01-06 21:00:00;9,80000000000001;95
"49";2011-01-07 00:00:00;10,4;93
"50";2011-01-07 03:00:00;10,9;96
"51";2011-01-07 06:00:00;11,4;96
"52";2011-01-07 09:00:00;12,2;95
"53";2011-01-07 12:00:00;12,4;96
"54";2011-01-07 15:00:00;12,5;96
"55";2011-01-07 18:00:00;12,5;93
"56";2011-01-07 21:00:00;12,9;91
"57";2011-01-08 00:00:00;12,7;93
"58";2011-01-08 03:00:00;11;94
"59";2011-01-08 06:00:00;12;94
"60";2011-01-08 09:00:00;12,8;93
"61";2011-01-08 12:00:00;14;89
"62";2011-01-08 15:00:00;13,1;89
"63";2011-01-08 18:00:00;11,7;94
"64";2011-01-08 21:00:00;12,1;92
"65";2011-01-09 00:00:00;12,4;90
"66";2011-01-09 03:00:00;12,4;91
"67";2011-01-09 06:00:00;12,6;92
"68";2011-01-09 09:00:00;12,9;91
"69";2011-01-09 12:00:00;12,9;92
"70";2011-01-09 15:00:00;13,1;72
"71";2011-01-09 18:00:00;10,7;74
"72";2011-01-09 21:00:00;8,10000000000002;81
"73";2011-01-10 00:00:00;6,40000000000003;80
"74";2011-01-10 03:00:00;4,5;84
"75";2011-01-10 06:00:00;3,5;94
"76";2011-01-10 09:00:00;7,90000000000003;78
"77";2011-01-10 12:00:00;13;55
"78";2011-01-10 15:00:00;12,5;63
"79";2011-01-10 18:00:00;7,80000000000001;74
"80";2011-01-10 21:00:00;3,80000000000001;90
"81";2011-01-11 00:00:00;2;88
"82";2011-01-11 03:00:00;2,30000000000001;95
"83";2011-01-11 06:00:00;2,90000000000003;95
"84";2011-01-11 09:00:00;4,60000000000002;93
"85";2011-01-11 12:00:00;7,10000000000002;91
"86";2011-01-11 15:00:00;9;88
"87";2011-01-11 18:00:00;7,20000000000005;95
"88";2011-01-11 21:00:00;11;62
"89";2011-01-12 00:00:00;9,80000000000001;67
"90";2011-01-12 03:00:00;10,1;61
"91";2011-01-12 06:00:00;7,5;69
"92";2011-01-12 09:00:00;9,90000000000003;60
"93";2011-01-12 12:00:00;13,6;49
"94";2011-01-12 15:00:00;13,8;59
"95";2011-01-12 18:00:00;11,3;73
"96";2011-01-12 21:00:00;10,6;80
"97";2011-01-13 00:00:00;13,4;69
"98";2011-01-13 03:00:00;13,5;68
"99";2011-01-13 06:00:00;7,40000000000003;89
"100";2011-01-13 09:00:00;10,2;83
"101";2011-01-13 12:00:00;15,7;66
"102";2011-01-13 15:00:00;19,1;50
