"","date","tree","mature","egg","L1","L2","L3","L4","L5","imago","leaves"
"1",2005-05-17 12:00:00,"10.1",30,0,0,0,0,0,0,0,1
"2",2005-05-27 12:00:00,"10.1",0,423,6,0,0,0,0,0,6
"3",2005-06-01 12:00:00,"10.1",0,0,11,1,0,0,0,0,5
"4",2005-06-03 12:00:00,"10.1",0,154,0,9,0,0,0,0,10
"5",2005-06-08 12:00:00,"10.1",0,0,0,3,0,0,0,0,10
"6",2005-06-09 12:00:00,"10.1",0,0,0,4,3,0,0,0,11
"7",2005-06-15 12:00:00,"10.1",0,0,0,0,0,1,0,0,11
"8",2005-06-20 12:00:00,"10.1",0,0,0,0,0,0,3,0,1
"9",2005-06-22 12:00:00,"10.1",0,0,0,0,0,0,2,0,2
"10",2005-06-28 12:00:00,"10.1",0,0,0,0,0,0,1,0,1
"11",2005-06-29 12:00:00,"10.1",0,0,0,0,0,0,1,0,1
"12",2005-06-30 12:00:00,"10.1",0,0,0,0,0,0,1,0,1
"13",2005-07-01 12:00:00,"10.1",0,0,0,0,0,0,1,0,1
"14",2005-07-04 12:00:00,"10.1",0,0,0,0,0,0,1,0,1
"15",2005-05-20 12:00:00,"10.2A",NA,0,0,0,0,0,0,0,0
"16",2005-05-29 12:00:00,"10.2A",0,280,12,0,0,0,0,0,8
"17",2005-06-03 12:00:00,"10.2A",0,0,34,3,0,0,0,0,8
"18",2005-06-06 12:00:00,"10.2A",0,0,0,24,0,0,0,0,9
"19",2005-06-08 12:00:00,"10.2A",0,0,0,12,11,0,0,0,9
"20",2005-06-13 12:00:00,"10.2A",0,0,0,2,4,2,0,0,9
"21",2005-06-17 12:00:00,"10.2A",0,0,0,0,0,10,20,0,10
"22",2005-06-22 12:00:00,"10.2A",0,0,0,0,0,0,0,0,10
"23",2005-06-24 12:00:00,"10.2A",0,0,0,0,0,0,0,2,1
"24",2005-05-20 12:00:00,"10.2B",NA,0,0,0,0,0,0,0,0
"25",2005-05-29 12:00:00,"10.2B",0,690,29,0,0,0,0,0,8
"26",2005-06-03 12:00:00,"10.2B",0,0,200,330,0,0,0,0,8
"27",2005-06-06 12:00:00,"10.2B",0,0,0,3,93,0,0,0,9
"28",2005-06-08 12:00:00,"10.2B",0,0,0,36,8,0,0,0,9
"29",2005-06-09 12:00:00,"10.2B",0,0,0,8,7,0,0,0,9
"30",2005-06-13 12:00:00,"10.2B",0,0,0,2,36,14,0,0,9
"31",2005-06-17 12:00:00,"10.2B",0,0,0,0,0,20,15,0,9
"32",2005-06-22 12:00:00,"10.2B",0,0,0,0,0,0,0,0,11
"33",2005-06-24 12:00:00,"10.2B",0,0,0,0,0,0,0,2,1
"34",2005-05-27 12:00:00,"11.2",NA,0,0,0,0,0,0,0,0
"35",2005-06-06 12:00:00,"11.2",0,59,7,0,0,0,0,0,8
"36",2005-06-10 12:00:00,"11.2",0,0,6,1,0,0,0,0,10
"37",2005-06-15 12:00:00,"11.2",0,0,0,3,0,0,0,0,12
"38",2005-06-17 12:00:00,"11.2",0,0,0,1,0,0,0,0,2
"39",2005-06-19 12:00:00,"11.2",0,0,0,0,0,0,0,0,12
"40",2005-05-31 12:00:00,"12.1",NA,0,0,0,0,0,0,0,0
"41",2005-06-06 12:00:00,"12.1",0,82,0,0,0,0,0,0,6
"42",2005-06-08 12:00:00,"12.1",0,15,47,0,0,0,0,0,6
"43",2005-06-13 12:00:00,"12.1",0,0,49,14,0,0,0,0,13
"44",2005-06-17 12:00:00,"12.1",0,0,0,32,1,0,0,0,13
"45",2005-06-22 12:00:00,"12.1",0,0,0,0,6,13,0,0,13
"46",2005-06-27 12:00:00,"12.1",0,0,0,0,0,10,0,0,3
"47",2005-06-28 12:00:00,"12.1",0,0,0,0,0,6,6,0,4
"48",2005-07-08 12:00:00,"12.1",0,0,0,0,0,0,6,0,1
"49",2005-07-11 12:00:00,"12.1",0,0,0,0,0,0,6,0,1
"50",2005-07-12 12:00:00,"12.1",0,0,0,0,0,0,4,0,1
"51",2005-07-13 12:00:00,"12.1",0,0,0,0,0,0,0,1,1
"52",2005-06-03 12:00:00,"12.2",NA,0,0,0,0,0,0,0,0
"53",2005-06-10 12:00:00,"12.2",0,14,2,0,0,0,0,0,12
"54",2005-06-15 12:00:00,"12.2",0,0,10,5,0,0,0,0,9
"55",2005-06-20 12:00:00,"12.2",0,0,0,3,8,0,0,0,10
"56",2005-06-27 12:00:00,"12.2",0,0,0,0,2,6,0,0,11
"57",2005-07-01 12:00:00,"12.2",0,0,0,0,0,11,2,0,12
"58",2005-07-08 12:00:00,"12.2",0,0,0,0,0,0,2,0,1
"59",2005-07-11 12:00:00,"12.2",0,0,0,0,0,0,2,0,1
"60",2005-06-06 12:00:00,"13.3",NA,0,0,0,0,0,0,0,0
"61",2005-06-13 12:00:00,"13.3",0,11,0,0,0,0,0,0,7
"62",2005-03-16 12:00:00,"1A",10,0,0,0,0,0,0,0,1
"63",2005-03-29 12:00:00,"1A",0,0,0,0,0,0,0,0,6
"64",2005-04-01 12:00:00,"1A",0,0,0,0,0,0,0,0,0
"65",2005-04-04 12:00:00,"1A",0,4,23,0,0,0,0,0,11
"66",2005-04-13 12:00:00,"1A",0,0,10,21,0,0,0,0,13
"67",2005-04-15 12:00:00,"1A",0,0,0,13,0,0,0,0,8
"68",2005-04-21 12:00:00,"1A",0,0,0,2,9,0,0,0,13
"69",2005-04-25 12:00:00,"1A",0,0,0,0,7,0,0,0,13
"70",2005-04-29 12:00:00,"1A",0,0,0,0,3,2,0,0,11
"71",2005-05-02 12:00:00,"1A",0,0,0,0,0,0,0,0,11
"72",2005-03-16 12:00:00,"1B",10,0,0,0,0,0,0,0,1
"73",2005-04-04 12:00:00,"1B",0,27,37,0,0,0,0,0,11
"74",2005-04-05 12:00:00,"1B",0,16,6,0,0,0,0,0,7
"75",2005-04-06 12:00:00,"1B",0,14,6,0,0,0,0,0,4
"76",2005-04-07 12:00:00,"1B",0,11,0,0,0,0,0,0,4
"77",2005-04-08 12:00:00,"1B",0,8,0,0,0,0,0,0,4
"78",2005-04-13 12:00:00,"1B",0,4,15,12,0,0,0,0,11
"79",2005-04-15 12:00:00,"1B",0,4,11,18,0,0,0,0,12
"80",2005-04-16 12:00:00,"1B",0,16,11,17,0,0,0,0,12
"81",2005-04-18 12:00:00,"1B",0,8,7,15,0,0,0,0,12
"82",2005-04-21 12:00:00,"1B",0,0,0,2,6,0,0,0,12
"83",2005-04-29 12:00:00,"1B",0,0,0,0,3,1,0,0,11
"84",2005-05-02 12:00:00,"1B",0,0,0,0,1,3,0,0,5
"85",2005-05-07 12:00:00,"1B",0,0,0,0,0,0,3,0,4
"86",2005-05-09 12:00:00,"1B",0,0,0,0,0,0,3,0,4
"87",2005-05-10 12:00:00,"1B",0,0,0,0,0,0,2,0,4
"88",2005-05-11 12:00:00,"1B",0,0,0,0,0,0,3,0,4
"89",2005-05-12 08:30:00,"1B",0,0,0,0,0,0,3,0,3
"90",2005-05-13 08:30:00,"1B",0,0,0,0,0,0,3,0,3
"91",2005-05-14 12:00:00,"1B",0,0,0,0,0,0,3,0,3
"92",2005-05-15 12:00:00,"1B",0,0,0,0,0,0,3,0,3
"93",2005-05-16 12:00:00,"1B",0,0,0,0,0,0,2,0,2
"94",2005-05-17 12:00:00,"1B",0,0,0,0,0,0,3,0,3
"95",2005-05-18 12:00:00,"1B",0,0,0,0,0,0,3,0,3
"96",2005-05-20 12:00:00,"1B",0,0,0,0,0,0,3,0,3
"97",2005-05-21 12:00:00,"1B",0,0,0,0,0,0,2,0,2
"98",2005-05-22 12:00:00,"1B",0,0,0,0,0,0,2,0,2
"99",2005-05-23 12:00:00,"1B",0,0,0,0,0,0,2,0,2
"100",2005-05-24 12:00:00,"1B",0,0,0,0,0,0,2,1,3
"101",2005-05-25 12:00:00,"1B",0,0,0,0,0,0,0,1,1
"102",2005-03-25 12:00:00,"2.3",NA,0,0,0,0,0,0,0,0
"103",2005-04-06 12:00:00,"2.3",0,48,0,0,0,0,0,0,6
"104",2005-04-08 12:00:00,"2.3",0,0,0,0,0,0,0,0,7
"105",2005-04-11 12:00:00,"2.3",0,0,26,0,0,0,0,0,7
"106",2005-04-18 12:00:00,"2.3",0,0,2,6,0,0,0,0,7
"107",2005-04-25 12:00:00,"2.3",0,0,0,2,0,0,0,0,7
"108",2005-04-26 12:00:00,"2.3",0,0,0,2,0,0,0,0,7
"109",2005-04-27 12:00:00,"2.3",0,0,0,1,1,0,0,0,2
"110",2005-04-28 12:00:00,"2.3",0,0,0,0,1,0,0,0,1
"111",2005-04-29 12:00:00,"2.3",0,0,0,0,1,0,0,0,1
"112",2005-05-02 12:00:00,"2.3",0,0,0,0,3,1,0,0,3
"113",2005-05-04 12:00:00,"2.3",0,0,0,0,0,0,0,0,3
"114",2005-03-26 12:00:00,"2.4",16,0,0,0,0,0,0,0,1
"115",2005-04-06 12:00:00,"2.4",0,48,0,0,0,0,0,0,6
"116",2005-04-08 12:00:00,"2.4",0,0,0,0,0,0,0,0,7
"117",2005-04-11 12:00:00,"2.4",0,0,26,0,0,0,0,0,7
"118",2005-04-18 12:00:00,"2.4",0,0,2,6,0,0,0,0,7
"119",2005-04-25 12:00:00,"2.4",0,0,0,2,0,0,0,0,7
"120",2005-04-26 12:00:00,"2.4",0,0,0,2,0,0,0,0,7
"121",2005-04-27 12:00:00,"2.4",0,0,0,1,1,0,0,0,2
"122",2005-04-28 12:00:00,"2.4",0,0,0,0,1,0,0,0,1
"123",2005-04-29 12:00:00,"2.4",0,0,0,0,1,0,0,0,1
"124",2005-05-02 12:00:00,"2.4",0,0,0,0,3,1,0,0,3
"125",2005-05-04 12:00:00,"2.4",0,0,0,0,0,0,0,0,3
"126",2005-03-28 12:00:00,"3.1",16,0,0,0,0,0,0,0,1
"127",2005-04-11 12:00:00,"3.1",0,11,0,0,0,0,0,0,7
"128",2005-04-12 12:00:00,"3.1",0,11,0,0,0,0,0,0,7
"129",2005-04-13 12:00:00,"3.1",0,14,0,0,0,0,0,0,7
"130",2005-04-15 12:00:00,"3.1",0,3,9,0,0,0,0,0,7
"131",2005-04-16 12:00:00,"3.1",0,3,0,0,0,0,0,0,7
"132",2005-04-21 12:00:00,"3.1",0,1,0,0,0,0,0,0,7
"133",2005-03-30 12:00:00,"3.2",NA,0,0,0,0,0,0,0,0
"134",2005-04-15 12:00:00,"3.2",0,30,0,0,0,0,0,0,9
"135",2005-04-16 12:00:00,"3.2",0,30,0,0,0,0,0,0,9
"136",2005-04-18 12:00:00,"3.2",0,8,18,0,0,0,0,0,9
